tags,data,stamps
1,27.713740234375,1737571698.102
3,-24.920690917968756,1737571698.102
7,2002.0,1737571698.102
16,-32.46001052856445,1737571698.102
17,-32.16450881958008,1737571698.102
2,0.00213623046875,1737571698.168
15,0.00213623046875,1737571698.168
4,0.3936767578125,1737571698.168
5,0.346527099609375,1737571698.168
6,0.379486083984375,1737571698.168
8,0.022552490234375,1737571698.168
9,0.017730712890625,1737571698.168
10,0.01800537109375,1737571698.168
11,241.83929443359375,1737571698.168
12,226.55181884765625,1737571698.168
13,351.829833984375,1737571698.168
14,221.30584716796875,1737571698.168
1,27.641396484374997,1737571698.168
3,-24.975622558593756,1737571698.168
7,2002.0,1737571698.168
16,-32.46001052856445,1737571698.169
17,-32.19598388671875,1737571698.169
2,-0.0054931640625,1737571698.235
15,-0.0054931640625,1737571698.235
4,0.393218994140625,1737571698.235
5,0.3460693359375,1737571698.235
6,0.37811279296875,1737571698.235
8,0.02252197265625,1737571698.235
9,0.0177001953125,1737571698.235
10,0.01788330078125,1737571698.235
11,242.154052734375,1737571698.235
12,226.55181884765625,1737571698.235
13,351.7598876953125,1737571698.235
14,221.30584716796875,1737571698.235
1,27.609746093749994,1737571698.235
3,-24.980200195312506,1737571698.235
7,2002.0,1737571698.235
16,-32.46001052856445,1737571698.236
17,-32.23270034790039,1737571698.236
2,0.02197265625,1737571698.302
15,0.02197265625,1737571698.302
4,0.3955078125,1737571698.302
5,0.346527099609375,1737571698.302
6,0.37811279296875,1737571698.302
8,0.022552490234375,1737571698.302
9,0.0177001953125,1737571698.302
10,0.017913818359375,1737571698.302
11,241.9442138671875,1737571698.302
12,226.55181884765625,1737571698.302
13,351.7074279785156,1737571698.302
14,221.30584716796875,1737571698.302
1,27.632353515624995,1737571698.302
3,-25.007666015625006,1737571698.302
7,2002.0,1737571698.302
16,-32.46001052856445,1737571698.302
17,-32.166255950927734,1737571698.302
2,-0.15655517578125,1737571699.102
15,-0.15655517578125,1737571699.102
4,0.395050048828125,1737571699.102
5,0.34515380859375,1737571699.102
6,0.378570556640625,1737571699.102
8,0.022552490234375,1737571699.102
9,0.017791748046875,1737571699.102
10,0.017852783203125,1737571699.102
11,241.92672729492188,1737571699.102
12,226.55181884765625,1737571699.102
13,351.7773742675781,1737571699.102
14,221.30584716796875,1737571699.102
1,27.641396484374997,1737571699.102
3,-24.884069824218756,1737571699.102
7,2002.0,1737571699.102
16,-32.46001052856445,1737571699.102
